date,exchange,volume_share
2026-03-04,Binance,0.320
2026-03-04,Bybit,0.180
2026-03-04,OKX,0.160
2026-03-04,Coinbase,0.080
2026-03-04,Kraken,0.045
2026-03-04,Bitget,0.060
2026-03-11,Binance,0.318
2026-03-11,Bybit,0.181
2026-03-11,OKX,0.158
2026-03-11,Coinbase,0.079
2026-03-11,Kraken,0.046
2026-03-11,Bitget,0.061
2026-03-18,Binance,0.316
2026-03-18,Bybit,0.183
2026-03-18,OKX,0.157
2026-03-18,Coinbase,0.078
2026-03-18,Kraken,0.045
2026-03-18,Bitget,0.062
2026-03-25,Binance,0.315
2026-03-25,Bybit,0.184
2026-03-25,OKX,0.155
2026-03-25,Coinbase,0.078
2026-03-25,Kraken,0.046
2026-03-25,Bitget,0.062
2026-04-01,Binance,0.312
2026-04-01,Bybit,0.186
2026-04-01,OKX,0.153
2026-04-01,Coinbase,0.077
2026-04-01,Kraken,0.045
2026-04-01,Bitget,0.063
2026-04-08,Binance,0.310
2026-04-08,Bybit,0.188
2026-04-08,OKX,0.151
2026-04-08,Coinbase,0.076
2026-04-08,Kraken,0.046
2026-04-08,Bitget,0.064
2026-04-15,Binance,0.308
2026-04-15,Bybit,0.190
2026-04-15,OKX,0.149
2026-04-15,Coinbase,0.075
2026-04-15,Kraken,0.046
2026-04-15,Bitget,0.065
2026-04-22,Binance,0.304
2026-04-22,Bybit,0.195
2026-04-22,OKX,0.147
2026-04-22,Coinbase,0.074
2026-04-22,Kraken,0.046
2026-04-22,Bitget,0.066
2026-04-29,Binance,0.301
2026-04-29,Bybit,0.203
2026-04-29,OKX,0.145
2026-04-29,Coinbase,0.073
2026-04-29,Kraken,0.058
2026-04-29,Bitget,0.067
